Term,Definitions,GPT Assistance
Helpful Rate (HPR),A metric evaluating the effectiveness of a jailbreak attack based on the ratio of queries not refused by the LLM to the total number of queries.,HPR = # of queries that are not refused by LLM / # of queries
Harmfulness Score (HS),"A rating from 1 to 5 assigned to responses based on their potential harm, with 1 indicating no harm and 5 indicating extreme harm.",
Attack Success Rate (ASR),"The proportion of responses that achieve the highest level of harm (score of 5), indicating the effectiveness of the jailbreak attack.",ASR = # of responses with HS = 5  / # of responses .
Dict-Judge,A method or tool used to evaluate the number of non-refusal responses by an LLM to quantify how many queries bypass the model's safety measures.,
Gradient-Based Approach,A technique in optimization-based attacks that uses the gradient (direction and magnitude of change) to find token sequences that can evade model safety measures.,
Hierarchical Genetic Algorithm,"An algorithmic approach in AutoDAN that evolves prompts over generations, optimizing for effectiveness in bypassing LLM safety protocols.",
,,
,,
,,
,,
,,
,,
PLEASE TAKE THIS SURVEY:,https://asu.co1.qualtrics.com/jfe/form/SV_6ilZ8tvvFH7BRZk,
User Behavior,,
Apple Picking (Cherry Picking),Selecting the best response from multiple outputs.,
Accordion Editing,Expanding or contracting responses for clarity.,
Layering Editing,Editing a previous prompt within a chain of prompts to receive a different output or change the direction of the conversation.  This can involve modifying earlier inputs to refine or correct subsequent AI responses.,
Minimalist Prompter: ,"Utilizes concise, one-sentence queries focusing on speed and directness.",
Pragmatic Prompter: ,"Offers a balance of context and brevity, iterating based on AI feedback.",
Detailed Prompter: ,"Provides thorough context, task breakdowns, and specific goals for optimal responses.",
Iterative Prompter: ,"Engages in a step-by-step dialogue, refining prompts based on AI interactions.",
Explorative Prompter: ,Crafts open-ended prompts to explore various responses and foster brainstorming.,
Contextual Prompter: ,Tailors prompt verbosity and detail to fit the specific context and objectives.,
Enthusiast Prompter: ,"Enjoys creating complex, nuanced prompts as an intellectual exercise.",
Utility-Driven Prompter: ,"Shapes prompts strictly based on the task, varying between brief and detailed as needed.",
,,
,,
User Interface/Experience,,
Forcefulness of Interaction,"How assertive the system should be in its interactions, considering the potential intrusion on the user's experience.",
Frequency of Interaction,"What is the frequency of interactions, the act of avoiding user fatigue while ensuring effective communication.",
Value of Success,"What benefit each correct output brings to the user, ensuring it outweighs the cost of potential errors.",
Cost of Failure,What are the implications of incorrect outputs and strive to minimize their impact.,
Quality of Model,"Continuously evaluating and improving the model's accuracy, ensuring it meets the required standards for a positive user experience.",
,,
PROS & CONS OF USING AN LLM,https://ai-guide.future.mozilla.org/content/ai-basics/,
Pros,,
Improved Token Prediction Accuracy,"LLMs are trained on large amounts of human-readable data (e.g. written text, code, and audio) and rely on state-of-the-art techniques to determine patterns within those data. The size and pattern recognition techniques (e.g. Transformers) improve the accuracy of predictions over previous systems.",
Efficiency,"With LLMs, tasks such as language translation and chatbots can be automated, potentially freeing up time for humans to focus on more complex tasks.",
Language Generation,"LLMs can generate human-like language output, making them applicable for tasks such as content creation and copywriting.",
Code Generation,"LLMs can generate code output, making them a powerful addition to developers' toolkits.",
Cons,,
Computational Power Requirements,"Training an LLM requires significant computational power, which can be expensive and time-consuming.",
Reproducing problematic training data,"Because LLMs are trained on massive amounts of data, they can perpetuate biases and toxicity (like hate speech) that exist in the training data.",
Lack of Transparency,"The inner workings of an LLM can be difficult to understand, which makes it challenging to identify how it arrived at a particular decision or prediction.",
LLM hallucinations:,"One of the most interesting and controversial aspects of LLMs is their ability to generate realistic language output that they have never been trained on. This phenomenon is known as LLM hallucination, and it has raised concerns about the potential misuse of these models.",
Waves (Systems) of AI,,
Frist Wave (System),"In the First Wave, prompt engineering is relatively static and rule-based. Professionals in this wave primarily focus on programming explicit rules into AI systems. The talent required here aligns closely with traditional programming skills, where the primary aim is crafting clear, unambiguous prompts based on a predetermined set of rules and logic. Communication with AI during this wave is formulaic and rigid, limiting the scope for improvisation or contextual understanding.",
Second Wave (System),"With the advent of the Second Wave, the field of prompt engineering begins to shift towards a more dynamic and data-driven approach. This wave requires a blend of programming skills and an understanding of data science principles, as prompt engineers need to guide the AI's learning process through large datasets. The focus shifts from crafting individual rules to designing prompts and feedback loops that help the system learn from patterns in data. The skill set expands to include data manipulation, statistical analysis, and an intuitive understanding of how different inputs might influence the AI's outputs.",
Third Wave (System),"In the Third Wave, prompt engineering becomes even more nuanced and complex, as it involves guiding AI systems that can understand and reason within context. This wave demands a profound shift from a strictly programming mindset to one that blends creativity, psychology, and design thinking. Prompt engineers need to craft inputs that not only direct the AI but also explore its ability to apply contextual understanding and nuanced reasoning. The talent in this phase is less about coding and more about effectively communicating with AI, requiring an in-depth understanding of human language, culture, and emotion to design prompts that can harness the full potential of context-aware AI systems.",
Types of Popular Models,,
GPT (OpenAI | CHATGPT),"Developed by OpenAI, the GPT series (including GPT-3.5, GPT-4, GPT-4.5 Turbo) is known for its versatility and high-quality performance across a wide range of tasks. It's considered the most robust and adaptable model, similar to the ""Android of models.""",
Gemini (Google),"Owned by Google, Gemini includes variations like Gemini Ultra, Gemini Advanced, Gemini Pro, etc. It claims superior performance in certain areas but has been noted for its stringent safety measures and occasional excessive caution.",Gemini is releasing Open source models.
Llama (Meta),"A project by Meta, Llama is notable for being open-source and provides more flexibility for technical users to fine-tune and operate on their servers. However, it generally lags behind in performance compared to GPT and Gemini.",
Claude (Anthropic AI),"Claude by Anthropic AI is recognized for its academic inclination and conservative output, minimizing hallucinations. It offers performances close to GPT-4 but with greater caution Has difficulty with creative tasks. Claude 3 just released which is suppose to be more life -like and have better performance then GPT-4.",Claude 3 JUST RELEASED!
Pi (Inflection AI),"Specializing in conversational interaction, Pi from Inflection AI is designed for natural human dialogue, excelling in tasks like mental health support, career advising, and brainstorming. It is likened to the ""Apple of LLMs"" due to its niche focus.",
Reka,"A lesser-known model, Reka is praised for its small, efficient versions that can work collaboratively. While not as popular or powerful as GPT, it stands out for specific, finely-tuned tasks and its small size.",
Western-Centric Bias/Stereotypes,,
Individualism Over Collectivism,"The emphasis on individual achievements and rights over collective goals and responsibilities, commonly found in Western cultures.",
Linear Time Perception,"The Western view of time as linear and progressive, contrasting with cyclical or flexible time concepts in other cultures.",
Universalism,"The assumption that Western legal, moral, and cultural norms are universal standards that should apply globally.",
Material Success and Capitalism,"The prioritization of material wealth, consumerism, and capitalism as measures of success and societal progress.",
Secularism,"The assumption that secular approaches and separation of church and state are standard, overlooking religious governance or theocratic perspectives.",
Western Democratic Models,The belief that Western-style democracy is the superior form of governance and should be adopted universally.,
English Language Dominance,"The assumption that English is the default or 'universal' language, marginalizing non-English speakers and cultures.",
Technological Superiority,The viewpoint that Western technology and scientific approaches are more advanced or inherently superior to those from other regions.,
Western Educational Superiority,The bias towards Western educational systems and standards as being the most effective or prestigious.,
Western Media Representation,"The overrepresentation of Western lifestyles, values, and perspectives in global media, shaping perceptions of normalcy and desirability.",
Freedom and Human Rights,"The portrayal of Western concepts of freedom and human rights as the most desirable or only legitimate forms, ignoring cultural nuances.",
Health and Beauty Standards,"Western standards of health and beauty being considered the norm, leading to marginalization of other body types, health practices, or beauty standards.",
Food and Cuisine Preferences,"The elevation of Western food and dining practices as standard or superior, while other culinary traditions may be marginalized or exoticized.",
Legal and Ethical Norms,The assumption that Western legal and ethical frameworks are universally applicable or inherently more just.,
Environmental Practices,"The Western-centric approaches to environmentalism and conservation, which may not consider indigenous or alternative environmental practices.",
Potential LLM Bias/Stereotypes,,
Cultural Bias,"The inclusion of cultural assumptions and values in the data, which may not be universally applicable or may misrepresent some groups.",
Language Bias,"The predominance of certain languages in the data, which can lead to underrepresentation or misinterpretation of non-dominant languages and their speakers.",
Gender Bias,"The presence of stereotypes or unequal representation of genders within the training data, leading to biased responses.",
Socioeconomic Bias,Bias that arises from the overrepresentation or underrepresentation of certain socioeconomic groups within the data.,
Historical Bias,The influence of outdated or historical values and perspectives that may no longer be relevant or are misrepresented in current contexts.,
Geographical Bias,"The overemphasis or underrepresentation of certain geographical areas, leading to skewed perceptions of places and cultures.",
Ideological Bias,"The embedding of specific political, ethical, or moral beliefs within the data, which may not be universally accepted or might marginalize alternative views.",
Confirmation Bias,The tendency to favor and reproduce information that confirms pre-existing beliefs and biases present in the training data.,
Selection Bias,"The non-random sampling of data sources used for training, which may not be representative of the broader population or all viewpoints.",
Reporting Bias,"The inclination towards using data that is more readily available or reported on, which can ignore less visible or less reported perspectives.",
Annotation Bias,"Bias introduced during the data labeling process due to the annotator personal beliefs, experiences, or misconceptions.",
Sampling Bias,The skew resulting from the method of data collection or selection that does not accurately reflect the diversity of the target population.,
Algorithmic Bias,Bias that occurs due to the underlying algorithms and models used to process and interpret the training data.,
Experiential Bias,"The limitations of the data based on the specific experiences or contexts it encompasses, which may not cover other relevant experiences or contexts.",
Content Bias,"Bias arising from the type of content selected for training, which may focus on certain topics, genres, or formats over others.",
Exposure Bias,"The bias that results from models being predominantly exposed to certain types of data, leading to a lack of familiarity with other data types.",
Outcome Bias,"The tendency to focus on data that leads to particular outcomes, ignoring data that could lead to different or opposing outcomes.",
Recency Bias,"Overvaluing recent events or data, potentially leading to the neglect of older, yet still relevant, information.",
Popularity Bias,"The bias towards data that is popular or trending, which may not accurately represent more niche or less popular perspectives.",
Implicit Bias,"Unconscious biases that are inadvertently incorporated into the data, affecting the model's responses and decisions.",
General Biases,,
Bias Blind Spot,The tendency to see oneself as less biased than other people.,
Gambler's Fallacy,The belief that past events affect the likelihood of future events in a random sequence.,
Omission Bias,"The tendency to judge harmful actions as worse, or less moral, than equally harmful inactions.",
Proportionality Bias,The inclination to assume that big events have big causes.,
Moral Credential Effect,The phenomenon where a person's past moral behavior makes them more likely to perform immoral actions.,
Self-Serving Bias,The habit of attributing positive events to one's own character but attributing negative events to external factors.,
Framing Effect,"Drawing different conclusions from the same information, presented in different ways.",
Actor-Observer Bias,"The tendency to attribute one's own actions to external causes, while attributing other people's behaviors to their character.",
Picture Superiority Effect,The phenomenon in which pictures and images are more likely to be remembered than words.,
Outcome Bias,Evaluating the quality of a decision when the outcome of that decision is already known.,
Mere-Exposure Effect,Developing a preference for things merely because they are familiar.,
Hard-Easy Effect,The tendency to overestimate one's ability to perform hard tasks and to underestimate the ability to perform easy tasks.,
Survivorship Bias,"Concentrating on the people or things that ""survived"" some process and inadvertently overlooking those that did not due to their lack of visibility.",
Baader-Meinhof Phenomenon,The illusion in which something that has recently come to one's attention suddenly seems to appear with improbable frequency shortly afterwards.,
Availability Heuristic,Overestimating the likelihood of events based on their availability in memory.,
Dunning-Kruger Effect,"The phenomenon where people with little knowledge overestimate their ability, while people with substantial knowledge underestimate their ability.",
Halo Effect,The tendency for an impression created in one area to influence opinion in another area.,
Pygmalion Effect,The phenomenon wherein higher expectations lead to an increase in performance.,
Decoy Effect,A phenomenon in consumer behavior where the presence of a third choice (decoy) can change the preference between the other two options.,
Selection Bias,"The bias introduced by the selection of individuals, groups or data for analysis in such a way that proper randomization is not achieved.",
Anchoring Bias,"The common human tendency to rely too heavily on the first piece of information offered (the ""anchor"") when making decisions.",
Confirmation Bias,"The tendency to search for, interpret, favor, and recall information in a way that confirms one's preexisting beliefs or hypotheses.",
Overconfidence Effect,Excessive confidence in one's own answers to questions.,
Egocentric Bias,The tendency to rely too heavily on one's own perspective and/or have a higher opinion of oneself than reality.,
Information Bias,The tendency to seek information when it does not affect action.,
Hindsight Bias,The inclination to see events that have already occurred as being more predictable than they were before they took place.,
Projection Bias,The tendency to overestimate how much other people agree with us.,
Apophenia Bias,The tendency to perceive connections and meaning between unrelated things.,
Serial Position Effect,"The tendency to recall the first and last items in a series best, and the middle items worst.",
Recency Bias,The tendency to weigh recent events more than earlier events.,
Authority Bias,The tendency to attribute greater accuracy to the opinion of an authority figure (unrelated to its content) and be more influenced by that opinion.,
Unit Bias,The standard suggested quantity of consumption is perceived as a recommendation of the appropriate amount to use.,
Availability Cascade,A self-reinforcing process in which a collective belief gains more and more plausibility through its increasing repetition in public discourse.,
Bandwagon Effect,The tendency to do (or believe) things because many other people do (or believe) the same.,
Illusory Truth Effect,The tendency to believe information to be correct after repeated exposure.,
Next-in-Line Effect,The phenomenon of people being unable to recall information about others in a group who spoke immediately before or after them.,
Ingroup Bias,The tendency to favor one's own group.,
Spotlight Effect,The belief that others are paying more attention to one's appearance and behavior than they really are.,
Choice-Supportive Bias,The tendency to remember one's choices as better than they actually were.,
Ostrich Effect,"The decision to ignore dangerous or negative information by ""burying"" one's head in the sand, like an ostrich.",
Selective Perception Bias,The tendency for expectations to affect perception.,
Peak-End Rule,"The tendency to judge an experience largely based on how they felt at its peak (i.e., its most intense point) and at its end.",
Potential LLM Bias/Stereotypes,,
Technocentric Perspectives,"The assumption that technology-based solutions are superior to non-technical ones, reflecting the bias in data that emphasizes technological advancements.",
English Language Primacy,"The overrepresentation and preference for English language content, leading to underrepresentation of other languages and cultures.",
Urban-centric Views,"The bias towards urban lifestyles and problems, overshadowing rural or non-urban perspectives and challenges.",
Internet User Demographics,"The overrepresentation of the demographics that are most active online, such as younger, tech-savvy individuals, skewing LLM perspectives.",
Mainstream Media Bias,"The predominance of mainstream media perspectives, which may not accurately reflect diverse viewpoints or underrepresented groups.",
Algorithmic Efficiency,"The preference for solutions or responses that are computationally efficient, which may not always align with human values or needs.",
Data-Driven Rationality,"The emphasis on data-driven, quantitative approaches, potentially overlooking qualitative insights or human emotional factors.",
Popular Culture Bias,"The inclination towards topics, terms, and ideas that are prevalent in popular culture, potentially marginalizing niche or less mainstream interests.",
Consumerist Orientation,"The focus on consumer-oriented topics and perspectives, mirroring the commercial content prevalent online.",
Short-term Focus,"The tendency to prioritize short-term information or trends, which may neglect longer-term perspectives or historical context.",
Silicon Valley Ideology,"The reflection of values and beliefs commonly associated with the tech industry and Silicon Valley, such as disruption and innovation at all costs.",
Echo Chamber Effect,"The reinforcement of ideas and beliefs that are prevalent within the data used for training, leading to a lack of diverse viewpoints.",
Information Overload,"The propensity to provide excessive information, mirroring the overwhelming amount of content available online, which may not always be relevant or accurate.",
Platform-centric Narratives,"The bias towards narratives and content that originate from or are popular on major digital platforms, potentially overlooking alternative or minority voices.",
Digital Divide,The underrepresentation of perspectives from individuals or communities with limited access to digital technologies or the internet.,
Global North Dominance,"The overemphasis on perspectives and data from countries in the Global North, leading to a marginalization of Global South viewpoints.",
Bias Mitigation Techniques,,
Counterbalancing,Intentionally including diverse viewpoints and data sources in training sets to balance out any inherent biases.,
Bias Auditing,Regularly reviewing and auditing LLM outputs to identify and correct for any patterns of bias or stereotype reinforcement.,
Inclusive Language Guidelines,"Establishing guidelines that ensure the use of inclusive, neutral language in prompts and instructions to avoid reinforcing stereotypes.",
Diverse Dataset Sourcing,Collecting training data from a wide range of sources and demographics to ensure a more balanced representation.,
Anonymization,"Removing identifiable information from training data to reduce biases related to demographic factors such as race, gender, or age.",
Bias Correction Algorithms,Implementing algorithms designed to identify and correct biases in the data before it is used to train LLMs.,
Adversarial Data Generation,"Creating data specifically designed to challenge and counteract existing biases within the LLM, often through the use of adversarial techniques.",
Sensitivity Review,Conducting thorough reviews of the training data and LLM outputs for potentially biased or insensitive content and correcting it where necessary.,
Contextual Understanding,"Enhancing LLMs' ability to understand and consider the context in which information is used, to reduce the risk of perpetuating harmful stereotypes or biases.",
Feedback Loops,"Establishing mechanisms for users to provide feedback on LLM outputs, which can be used to identify and mitigate biases.",
Regular Updating and Reevaluation,Continuously updating the training data and reevaluating the LLM to address new forms of bias or changes in societal norms.,
Ethical Guidelines Compliance,Ensuring that the development and deployment of LLMs adhere to established ethical guidelines and standards to mitigate biases.,
Cross-Cultural Competency Training,Providing training for those involved in the creation and oversight of LLMs to recognize and understand cultural biases and differences.,
Transparency in Algorithm Design,Making the design and decision-making processes of LLMs transparent to facilitate the identification and mitigation of biases.,
Fairness Metrics Evaluation,Employing fairness metrics to evaluate LLM outputs systematically and ensure they meet predefined standards of impartiality.,
Bias Awareness Techniques,,
Bias Reflection Prompts,Incorporating prompts that encourage users and developers to reflect on potential biases in their instructions or queries.,
Cultural and Contextual Sensitivity Training,Educating users and developers on cultural and contextual differences to ensure more sensitive and unbiased prompt construction.,
Bias Awareness Workshops,Conducting workshops aimed at identifying and understanding common biases that can affect LLM training and interaction.,
Diverse Perspective Seeking,Encouraging the practice of seeking out and considering multiple perspectives when forming prompts to reduce one-sided viewpoints.,
Transparent Sourcing,Encouraging the disclosure of data sources for prompts and instructions to highlight potential bias origins and encourage diverse sourcing.,
Feedback Mechanisms,"Implementing systems for users to provide feedback on perceived biases in LLM responses, fostering continuous awareness and improvement.",
Bias Documentation,"Maintaining detailed documentation of known biases in the LLM and strategies used to address them, serving as a reference for users and developers.",
Implicit Bias Tests,"Utilizing tests designed to uncover unconscious biases in individuals, aiding in the crafting of more neutral and inclusive prompts.",
Historical Contextualization,Including historical context in the development and review process to understand how biases may have evolved and how they might influence prompts.,
Stereotype Challenge Exercises,"Engaging in exercises designed to challenge and break down common stereotypes, helping users and developers to avoid perpetuating these in prompts.",
Cross-Cultural Validation,Validating prompts and instructions across different cultures and languages to ensure universal applicability and sensitivity.,
Longitudinal Data Analysis,Analyzing how responses to prompts change over time to identify and correct emerging biases.,
Ethical Review Boards,Establishing boards comprised of diverse members to review and approve prompts and instructions for ethical considerations and bias minimization. This could also be LLM review board.,
Peer Review Systems,Implementing peer review processes for prompt creation to ensure they are examined from multiple perspectives for biases.,
Multidisciplinary Collaboration,"Collaborating with experts from various fields such as sociology, psychology, and anthropology to understand and mitigate biases in prompts.",
User-Centric Design,Designing prompts with a focus on the end-user's cultural and social background to ensure relevance and minimize bias.,
Bias Impact Assessments,Conducting impact assessments to understand the potential consequences of biases in prompts and modify them accordingly.,
Adaptive Learning Algorithms,Utilizing algorithms that adapt and update based on feedback and new data to reduce biases over time.,
Scenario-Based Testing,Testing prompts in various hypothetical scenarios to identify potential biases in different contexts.,
Continuous Education and Training,Providing ongoing education and training for developers and users on the latest bias awareness and mitigation techniques.,
Ethical Dilemma Awareness,,
The Trolley Problem,Deciding whether to pull a lever to switch a runaway trolley onto a track where it will kill one person instead of five.,
Autonomy vs. Beneficence in Medicine,Balancing patient autonomy with the doctor's duty to act in the patient's best interest when these are at odds.,
Whistleblowing in the Workplace,"Deciding whether to report unethical or illegal activities within one's organization, risking job security and relationships.",
Privacy vs. Security,Balancing individual privacy rights with the need for security and surveillance to protect the public.,
Animal Rights vs. Scientific Research,Weighing the rights of animals against the potential human benefits of animal testing in scientific research.,
Cultural Relativism vs. Universal Morality,Resolving conflicts between culturally specific practices and universal ethical principles.,
End-of-Life Decisions,Making decisions about life-sustaining treatments for terminally ill patients who cannot make their own decisions.,
Environmental Ethics vs. Economic Development,Balancing environmental protection with economic growth and development needs.,
Artificial Intelligence and Responsibility,"Determining who is responsible for the actions of AI systems, especially when they cause harm.",
Conflicts of Interest,Navigating situations where personal interests might interfere with professional duties or ethical standards.,
Data Privacy and Consent,"Managing the ethical implications of collecting, storing, and using personal data, particularly without explicit consent.",
Fairness in Resource Allocation,"Deciding how to distribute limited resources fairly, such as in healthcare or educational opportunities.",
Intellectual Property and Plagiarism,"Resolving issues related to the use and protection of intellectual property, and addressing acts of plagiarism.",
Informed Consent in Research,Ensuring that research participants are fully informed and voluntarily consent to participate in research.,
Ethical Consumerism,"Deciding whether to purchase goods from companies with questionable ethical practices, such as poor labor conditions or environmental harm.",
,,
Data Privacy and Anonymization,"Deciding how to handle personal data included in training sets, ensuring privacy and consent are respected.",
Bias and Fairness in Model Outputs,Addressing the presence of biases in training data that may lead to unfair or discriminatory model outputs.,
Transparency vs. Proprietary Interests,Balancing the need for transparency in AI algorithms and data with proprietary or commercial interests.,
Misinformation and Trustworthiness,"Ensuring LLMs do not generate or propagate false information, maintaining trustworthiness.",
Intellectual Property in Training Data,Resolving issues related to the use of copyrighted material within training datasets.,
Responsibility for Model Actions,Determining accountability for harmful actions or decisions suggested by LLMs.,
User Manipulation and Persuasion,Avoiding the design of LLMs in a way that manipulates or overly persuades users towards certain viewpoints.,
Accessibility and Inclusivity,"Ensuring equitable access to benefits provided by LLMs for all user groups, including those with disabilities.",
Environmental Impact of Training,Addressing the significant energy consumption and environmental impact associated with training large models.,
Model Misuse and Dual Use,Preventing the misuse of LLMs for harmful purposes while allowing beneficial uses.,
Consent for Data Use,Ensuring that all data used for training LLMs is obtained with the informed consent of the individuals involved.,
Continuous Learning and Ethical Drift,Handling changes in societal norms and values over time in continuously updated models.,
Human Replacement and Job Displacement,Addressing ethical concerns related to LLMs replacing human jobs and the societal impact thereof.,
Interpretability and Explainability,"Ensuring that decisions made by LLMs can be understood and explained to users, particularly in critical applications.",
Cultural Sensitivity and Localization,Addressing the challenge of ensuring LLMs are sensitive to cultural differences and do not enforce cultural biases.,
,,
Cultural Bias in AI Training Data,"Addressing the overrepresentation of Western norms and values in datasets, potentially marginalizing non-Western perspectives.",
Western Notions of Morality and Ethics,"Dealing with the dominance of Western ethical frameworks, potentially ignoring or misrepresenting global moral diversity.",
Economic Priorities in AI Development,"Balancing profit-driven, often Western, motivations for AI development against broader ethical considerations and impacts.",
Privacy Standards Discrepancy,Navigating the gap between Western privacy standards applied in AI and differing privacy norms in non-Western societies.,
Western Dominance in Technological Standards,"Addressing the ethical concerns around Western standards shaping global AI norms, potentially sidelining other cultural inputs.",
Language and Cultural Homogenization,"Tackling the potential for AI to contribute to linguistic and cultural homogenization, favoring Western languages and values.",
Imposing Western Legal and Ethical Norms,"The dilemma of Western-centric legal and ethical norms being imposed on global AI practices, ignoring cultural differences.",
Representation in AI Decision-Making,"Ensuring diverse cultural representation in AI decision-making processes, challenging Western-centric decision frameworks.",
Accessibility and Inclusivity in AI,"Addressing the disparity in AI accessibility and inclusivity, where Western-centric designs may not suit global needs.",
AI and Global Economic Disparity,"Confronting the role of AI in exacerbating global economic disparities, often benefiting Western economies at others' expense.",
,,
Bias Amplification,"The dilemma of LLMs potentially amplifying existing societal biases present in the training data, leading to biased outputs.",
Misrepresentation of Minorities,Handling the underrepresentation or stereotypical portrayal of minorities in LLM outputs due to biased training datasets.,
Privacy and Data Use,Deciding how to use personal data present in training sets while respecting individual privacy rights.,
Intellectual Property and Content Generation,Addressing the use of copyrighted material in training data and the creation of derivative content by LLMs.,
Misinformation and Fake News,Managing the dissemination of false information through LLMs due to training on unreliable sources.,
Echo Chambers and Radicalization,The risk of LLMs reinforcing harmful ideologies by generating content that feeds into users' biases.,
Emotional Manipulation,"Ethical considerations around LLMs influencing users' emotions, especially in marketing or political contexts.",
Dependence and Dehumanization,"The impact of overreliance on LLMs for communication and decision-making, potentially diminishing human interaction.",
Accountability in AI-generated Decisions,Determining who is responsible for decisions made or actions taken based on LLM-generated advice or information.,
Accessibility and Inclusivity,"Ensuring that LLMs are accessible and fair to all users, regardless of language, disability, or cultural background.",
,,
Overcorrection to Avoid Bias,"Deciding how LLMs should correct for historical biases without suppressing valid viewpoints under the guise of being ""woke.""",
Censorship vs. Sensitivity,Balancing the need for sensitive content moderation with the risk of over-censoring and limiting free speech.,
Cultural Overgeneralization,"Addressing the dilemma of LLMs potentially overgeneralizing cultural norms, leading to stereotyping or misrepresentation.",
Historical Revisionism,Managing the risk of LLMs inadvertently rewriting or misrepresenting historical facts under the pressure to align with current ethical standards.,
Ideological Echo Chambers,"Confronting the development of LLMs that may reinforce certain ideologies, creating echo chambers rather than promoting diverse perspectives.",
Diverse Voices Suppression,Ensuring LLMs do not suppress voices from less represented groups while attempting to correct for perceived biases.,
Ethical Whitewashing,Addressing the issue of LLMs potentially 'whitewashing' ethical concerns to appear more universally acceptable.,
Political Correctness Overreach,"Deciding the extent to which LLMs should adhere to politically correct language, avoiding exclusion while not diluting the discourse.",
Authenticity vs. Sanitization,Balancing the preservation of authentic human expression with the need to sanitize content for harmful elements.,
Content Moderation Bias,Addressing biases in content moderation algorithms that may favor certain viewpoints or suppress others under ethical pretenses.,
PLEASE TAKE THIS SURVEY:,https://asu.co1.qualtrics.com/jfe/form/SV_6ilZ8tvvFH7BRZk,
Thesis,https://docs.google.com/document/d/1oWco4_ILAA-Z96xO44OFceFF3c0Xqn-9EnZd1TowRwU/edit?usp=sharing,
