node,class
Ferran Hurtado,action_selection
Computers and Intractability,action_selection
Hausdorff maximal principle,action_selection
Pseudo-complement,action_selection
Julian Tudor Hart,action_selection
First-hitting-time model,representation
Proportional hazards model,representation
Interaction (statistics),action_selection
Mixed model,representation
Graphical model,representation
Impact winter,action_selection
Deductive inference,inference
Degrees of freedom (statistics),action_selection
Inference to the best explanation,inference
Donald A. Gillies,action_selection
Model specification,representation
Inference to the Best Explanation,inference
Structural equation modeling,representation
Model selection,representation
Up-and-Down Designs,action_selection
Time domain,action_selection
Solomonoff's theory of inductive inference,inference
Statistical inference,inference
Factorial experiment,action_selection
Accelerated failure time model,representation
Random assignment,action_selection
Dogmatic school,action_selection
Actuarial science,action_selection
Kaplan–Meier estimator,planning
Frequency domain,action_selection
Generalized linear model,representation
Frequentist inference,inference
General linear model,representation
Factor analysis,action_selection
Randomized experiment,action_selection
Randomized controlled trial,action_selection
Randomization test,action_selection
Autoregressive–moving-average model,representation
Business process modeling,representation
Data model (GIS),representation
Enterprise modelling,representation
Frameworx Shared Information/Data Model,representation
Common Information Model (computing),representation
Object-Role Modeling,representation
Entity-relationship model,representation
Building information modeling,representation
Conceptual model (computer science),representation
System information modelling,representation
Entity relationship model,representation
Logical data model,representation
Process model,representation
Core architecture data model,representation
Common data model,representation
Generic data model,representation
Object–role modeling,representation
Integrated Computer-Aided Manufacturing,action_selection
Facility information model,representation
Random process,action_selection
Laurance Doyle,action_selection
Fractal compression,action_selection
Independent identically distributed random variables,action_selection
Compression artifact,action_selection
Acta Astronautica,action_selection
Extractor (mathematics),action_selection
Pseudorandom number generator,action_selection
Cryptographically secure pseudorandom number generator,action_selection
Compact disc,action_selection
Random seed,action_selection
Memoryless,memory_access
Active networking,action_selection
Model Driven Interoperability,representation
Securities Exchange Act of 1934,action_selection
Cross-domain interoperability,action_selection
Paradox (theorem prover),action_selection
Multi-agent planning,planning
Preference-based planning,planning
Partial-order planning,planning
State-space planning,planning
Reactive planning,action_selection
Knowledge Acquisition and Documentation Structuring,action_selection
Knowledge level modeling,representation
Abstract class,action_selection
British Journal of General Practice,action_selection
The World Factbook,action_selection
Lumped element model,representation
Knowledge representation language,representation
Logico-linguistic modeling,representation
Common sense reasoning,perception
Ronald Kaplan,planning
Freeplane,planning
DOT (graph description language),action_selection
Mindomo,action_selection
PlantUML,planning
Visual Understanding Environment,representation
Adobe Flash,action_selection
List of Unified Modeling Language tools,representation
Dead cat strategy,planning
Ergo decedo,action_selection
Fact–value distinction,action_selection
Necktie paradox,action_selection
Throw away paradox,action_selection
Bootstrap paradox,action_selection
Buttered cat paradox,action_selection
Berkson's paradox,action_selection
Tritone paradox,action_selection
Elevator paradox,action_selection
Stokes' paradox,action_selection
Population paradox,action_selection
Paradox of entailment,action_selection
Gray's paradox,action_selection
False positive paradox,action_selection
Status paradox,action_selection
Archer's paradox,action_selection
Kaldor–Hicks efficiency,action_selection
New states paradox,action_selection
Simpson's paradox,action_selection
Identical twins paradox,action_selection
Green paradox,action_selection
Lombard's paradox,action_selection
Two capacitor paradox,action_selection
Braess's paradox,action_selection
Grossman-Stiglitz Paradox,action_selection
Coin rotation paradox,action_selection
Elevator paradox (physics),action_selection
Bertrand's box paradox,action_selection
Air conditioning paradox,action_selection
Fermi paradox,action_selection
Physical paradox,action_selection
Irresistible force paradox,action_selection
Lindley's paradox,action_selection
Bentley's paradox,action_selection
Paradox of the plankton,action_selection
Observer effect (physics),perception
Mexican paradox,action_selection
French paradox,action_selection
Accuracy paradox,action_selection
Deaton paradox,action_selection
Exercise paradox,action_selection
Movement paradox,action_selection
Code-talker paradox,action_selection
Faint young Sun paradox,action_selection
Gender paradox,action_selection
Paradox of democracy,action_selection
Knower paradox,action_selection
Klein paradox,action_selection
Paradox of plenty,action_selection
Zeno paradox,action_selection
Sherman paradox,action_selection
Voting paradox,action_selection
Progress paradox,action_selection
Temporal paradox (paleontology),action_selection
Freedman's paradox,action_selection
Olbers' paradox,action_selection
Mocanu's velocity composition paradox,action_selection
Potato paradox,action_selection
Charlesworth's paradox,action_selection
Paradox of the heap,action_selection
Schrödinger's cat paradox,action_selection
Bell's spaceship paradox,action_selection
Stability–instability paradox,action_selection
Low birth weight paradox,action_selection
Peto's paradox,action_selection
Observer's paradox,perception
Causal loop,loop_control
Faraday paradox (electrochemistry),action_selection
Galileo's paradox,action_selection
Hausdorff paradox,action_selection
Bonini's paradox,action_selection
Abelson's paradox,action_selection
Wollheim's paradox,action_selection
Bertrand's paradox (probability),action_selection
GZK paradox,action_selection
Hispanic paradox,action_selection
Boy or Girl paradox,action_selection
Proebsting's paradox,action_selection
Ehrenfest paradox,action_selection
Paradox of the pesticides,action_selection
Veridical paradox,action_selection
Israeli paradox,action_selection
Moral paradox,action_selection
Demographic-economic paradox,action_selection
Two-envelope paradox,action_selection
Goodman's paradox,action_selection
Solomon's paradox,action_selection
Cramer's paradox,action_selection
Adolf Hitler,action_selection
Sayre's paradox,action_selection
The paradox of banknotes,action_selection
Hilbert–Bernays paradox,action_selection
Borel's paradox,action_selection
Paradoxical set,action_selection
Paradox of place,action_selection
Hydrostatic paradox,action_selection
Taxonomic boundary paradox,action_selection
Paradox of enrichment,action_selection
Grandfather paradox,action_selection
Paradoxical laughter,action_selection
Galactic Center,action_selection
Outcomes paradox,action_selection
No-show paradox,action_selection
Paradox of suspense,action_selection
Tea leaf paradox,action_selection
Skolem's paradox,action_selection
Paradox of radiation of charged particles in a gravitational field,action_selection
Inspection paradox,action_selection
Painlevé paradox,action_selection
Hitler's murder paradox,action_selection
The Paradox of Choice,action_selection
Faraday paradox,action_selection
Interesting number paradox,action_selection
D'Alembert's paradox,action_selection
Hooper's paradox,action_selection
Paradox of the grain of millet,action_selection
Washburn's paradox,action_selection
Paradox of freedom,action_selection
Cool tropics paradox,action_selection
Friendship paradox,action_selection
Obesity paradox,action_selection
Pulsus paradoxus,action_selection
Meat paradox,action_selection
Knudsen paradox,action_selection
Perceptual paradox,action_selection
Algol paradox,action_selection
Rule-following paradox,action_selection
Ross–Littlewood paradox,action_selection
Stockdale paradox,action_selection
Norton's dome,action_selection
Temporal paradox,action_selection
Supplee's paradox,action_selection
Region-beta paradox,action_selection
Benardete's paradox,action_selection
Antarctic paradox,action_selection
Bracketing paradox,action_selection
Denny's paradox,action_selection
Cole's paradox,action_selection
Carroll's paradox,action_selection
Glucose paradox,action_selection
Ross' paradox,action_selection
Von Neumann paradox,action_selection
Levinthal paradox,action_selection
Self-absorption paradox,action_selection
Extinction paradox,action_selection
Grim Reaper paradox,action_selection
Alabama paradox,action_selection
Hardy's paradox,action_selection
Polanyi's paradox,action_selection
Lek paradox,action_selection
SAR paradox,action_selection
Birthday paradox,action_selection
Taeuber Paradox,action_selection
Meno's paradox,action_selection
No-no paradox,action_selection
Paradox of free choice,action_selection
Gender-equality paradox,action_selection
Grice's paradox,action_selection
Theodore Sider,action_selection
Explanatory combinatorial dictionary,planning
Cory Doctorow,action_selection
Early-arriving fact,action_selection
Documentation science,action_selection
Knowledge extraction,action_selection
"Extract, load, transform",action_selection
Anchor modeling,representation
Data vault modeling,representation
Metadata modeling,representation
Fact table,action_selection
DOAP,action_selection
IPTC Information Interchange Model,representation
Fact (data warehouse),action_selection
Metamemory,memory_access
Corporate information factory,action_selection
CIDOC Conceptual Reference Model,representation
Data extraction,action_selection
Data Documentation Initiative,action_selection
Document,action_selection
Donald Firesmith,action_selection
Functional model,representation
Capability Maturity Model,representation
Meta-process modeling,representation
Technical documentation,action_selection
Feature extraction,action_selection
Conditional random field,action_selection
Decision tree model,representation
Dolphin,action_selection
Endonym and exonym,action_selection
List of pseudonyms,action_selection
Planetary science,planning
Message Understanding Conference,representation
Contact call,action_selection
Pseudoword,action_selection
Macedonian onomastics,action_selection
Marketing strategy,planning
Language documentation,action_selection
Planetary nomenclature,planning
Plant epithet,planning
List of characters and names mentioned in the Quran,action_selection
Indonesia,action_selection
Usage-based models of language,representation
Interactional linguistics,action_selection
Double-barrelled name,action_selection
Chinese Indonesian surname,action_selection
Indonesian names,action_selection
Pseudonym,action_selection
Natural-language understanding,representation
Intermediate representation,representation
Document structuring,action_selection
Memory loss,memory_access
Knowledge Representation,representation
Hodonymy,action_selection
Biennial plant,planning
Annual plant,planning
International Code of Nomenclature for Cultivated Plants,planning
Species Plantarum,planning
Perennial plant,planning
Abstract noun,action_selection
Linnean Society of London,action_selection
"International Code of Nomenclature for algae, fungi, and plants",planning
London Bridge,action_selection
Dual copula strategy,planning
Theodor Elsenhans,action_selection
Pseudo-Dionysius,action_selection
Refraction,action_selection
Abstract object,action_selection
Ex post facto,action_selection
Mental model (disambiguation),representation
Interaction design pattern,action_selection
Design science (methodology),action_selection
Typology (urban planning and architecture),planning
University of Colorado at Boulder,action_selection
IEEE Transactions on Multimedia,action_selection
Douglas Engelbart,action_selection
Gordon Clark,action_selection
Dolpopa Sherab Gyaltsen,action_selection
Teletransportation paradox,action_selection
Enterprise resource planning,planning
Business Activity Monitoring,action_selection
Activity diagram,action_selection
Functional reactive programming,action_selection
Inferential programming,inference
Macdonald & Co. (Publishers) Ltd.,action_selection
Loop (computing),loop_control
Infinite loops,loop_control
Actor model,representation
Loop variant,loop_control
For loop,loop_control
Interactive programming,action_selection
Algebraic modeling language,representation
Reactive programming,action_selection
Parallel programming model,representation
While loop,loop_control
Tree (abstract data type),action_selection
Memory management,memory_access
Tactile programming language,action_selection
Infinite loop,loop_control
Action language,action_selection
Metalinguistic abstraction,action_selection
Stack (abstract data type),action_selection
Literate programming,loop_control
Queue (abstract data type),action_selection
Stack memory,memory_access
List (abstract data type),action_selection
The Logic of Sense,perception
Planner (programming language),planning
Read–eval–print loop,loop_control
Practical Common Lisp,action_selection
Community of practice,action_selection
CommonLoops,loop_control
Semantic analysis (knowledge representation),representation
Data representation,representation
Data domain,action_selection
Syntactic interoperability,action_selection
Bianconi–Barabási model,representation
Hierarchical network model,representation
Watts–Strogatz model,representation
Epidemic model,representation
Spreading activation,action_selection
Barabási–Albert model,representation
Open Mind Common Sense,perception
Blockmodeling,representation
Relationship extraction,action_selection
Erdős–Rényi model,representation
Fitness model (network theory),representation
Abstract semantic graph,action_selection
Random geometric graph,action_selection
Exponential random graph models,representation
SIR model,representation
Sparse distributed memory,memory_access
Maximum-entropy random graph model,representation
Stochastic block model,representation
Soft configuration model,representation
Agent-based model,representation
Kingdom of Prussia,action_selection
Donald B. Johnson,action_selection
Contraction hierarchies,action_selection
Actual world,action_selection
Perceive,perception
Human Freedom,action_selection
Observer (quantum physics),perception
Udo Thiel,action_selection
Counterfactual,action_selection
Plant stem,planning
Polymerase chain reaction,action_selection
Vascular plant,planning
Augustin Pyramus de Candolle,action_selection
Biological interaction,action_selection
Lipidology,action_selection
Bacteria,action_selection
Bacteriology,action_selection
Glossary of plant morphology,planning
Cladograms,action_selection
Models of communication,representation
Social interaction,action_selection
Plans,planning
Mediated cross-border communication,conflict_resolution
Closed-loop communication,loop_control
Action (philosophy),action_selection
Double empathy problem,action_selection
Douglas L. Wilson,action_selection
Down syndrome,action_selection
Dorsomedial prefrontal cortex,action_selection
Inferring,inference
Long-term impact of alcohol on the brain,action_selection
Kingdom of Ends,action_selection
Microsoft Docs,action_selection
Don't Let the Pigeon Drive the Bus!,action_selection
Exact algorithm,action_selection
Wisdom King,action_selection
Chinese characters,action_selection
Édouard Chavannes,action_selection
Matryoshka doll,action_selection
Turtles All the Way Down (novel),action_selection
Turtles All the Way Down (song),action_selection
Turtles All the Way Down (disambiguation),action_selection
Actuality and potentiality,action_selection
Practical theology,action_selection
Eudoxus of Cnidus,action_selection
Classical planets,planning
De Docta Ignorantia,action_selection
Gerhard Dorn,action_selection
Freedom of will,action_selection
Ernesto Teodoro Moneta,action_selection
Open Data in the United Kingdom,action_selection
Gordon and Betty Moore Foundation,action_selection
Sir Arthur Conan Doyle,action_selection
"YES: ""I can describe it, but don't understand it""",representation
"NO: ""Simple but can't pin it down""",action_selection
"NO: ""It's clear but doesn't make sense""",perception
"NO: ""Just doesn't click""",action_selection
"""Whether to decide at all""",decision
"""Can't figure out what I'm actually deciding""",action_selection
"NO: ""Don't know why I feel this way""",action_selection
"LOW-GRADE/CHRONIC: ""Background unease, persistent dissatisfaction""",action_selection
"NO: ""I sense something but can't name it""",perception
"""Want to understand WHY it happens""",representation
"UNWANTED: ""Just don't like it""",action_selection
"""Don't know - just have a sense something's off""",perception
YES = Self-deception likely,inference
YES = Self-deception likely (truth doesn't need defending),action_selection
Likely need: CLARITY or DECISION,goal_formation
Likely need: WORKING MEMORY EXTENSION,memory_access
Likely need: EMOTIONAL PROCESSING,goal_formation
Likely need: CREATIVE BREAKTHROUGH or PATTERN BREAK,goal_formation
Likely need: EPISTEMIC AUDIT + DIALECTICAL,goal_formation
Likely need: RECURSIVE CLARITY + PARALLEL SELF,goal_formation
Likely need: DOCUMENTATION WITNESS + EXTERNALIZATION,action_selection
"""Understanding"" → Pattern Recognition Flowchart",representation
"Often: You know the answer, need permission to act",action_selection
MSD: UNIFIED FRAMEWORK,representation
B,representation
X₀ (returns),representation
"""I need to decide something"" → GO TO: Decision Flowchart",decision
"""I keep doing the same thing"" → GO TO: Pattern Recognition Flowchart",action_selection
"""I don't know what I need"" → GO TO: Meta-Diagnostic Flowchart",action_selection
"""I keep choosing the same type of partner/friend/conflict""",conflict_resolution
"""Do I get defensive when this topic comes up?""",action_selection
"""Do I avoid thinking about this?""",action_selection
"""Do I have elaborate justifications ready?""",action_selection
evaluate_option_set,evaluation
surface_hidden_goal,goal_formation
check_value_alignment,evaluation
